id                                   ; name                                       ; type                 ; heatingLimit  ; antifreezingTemperature ; waterFraction  ; loadHours  ; isDefault  ; index  
2e3bbca5-94be-4257-af59-3364a90e3ebf ; Fertighaus 1969-1978                       ; SINGLE_FAMILY_HOUSE  ; 15            ; 5                       ; 13             ; 1918       ; false      ; 3      
336f1a57-637e-4fc5-bf34-49a0cfcbab39 ;                                            ; SCHOOL               ; 15            ; 5                       ; 3.4            ; 1400       ; true       ; 0      
35bc03b8-97c3-4928-8ef3-bf655943b4f2 ; NBL Standard 1970-1980                     ; TOWER_BLOCK          ; 15            ; 5                       ; 21             ; 1990       ; false      ; 2      
36983d9d-a49f-404a-952b-04269b63cd87 ; Niedrigenergiehaus (KfW 55)                ; TERRACE_HOUSE        ; 12            ; 5                       ; 49             ; 1009       ; false      ; 8      
3b27491c-c3c2-468b-9cec-ac69a8b2112b ; Standard 1919-1948                         ; MULTI_FAMILY_HOUSE   ; 17            ; 5                       ; 8              ; 1728       ; false      ; 1      
4a72b368-679d-4c3d-9fea-bf76aad9d849 ; Niedrigenergiehaus (KfW 70)                ; SINGLE_FAMILY_HOUSE  ; 12            ; 5                       ; 22             ; 1616       ; false      ; 7      
4c0034aa-8bab-417c-a17a-89ac1f450d2e ; Niedrigenergiehaus (KfW 55)                ; TOWER_BLOCK          ; 12            ; 5                       ; 44             ; 1449       ; false      ; 8      
4e1a2929-e59a-4b1a-bb3c-dec917eb9849 ; Standard 1979-1994                         ; SINGLE_FAMILY_HOUSE  ; 15            ; 5                       ; 12             ; 1921       ; true       ; 4      
50c4f6d4-efd8-4e7c-8c44-8a8507902824 ; Standard 1995-2009                         ; BLOCK_OF_FLATS       ; 15            ; 5                       ; 30             ; 2369       ; false      ; 7      
52e9670e-45a1-45f4-bff7-6c118fad579c ; ENEV 2009/2014 (KfW 100/ 85)               ; TERRACE_HOUSE        ; 12            ; 5                       ; 32             ; 1550       ; false      ; 6      
605bf903-692e-41c2-94a7-15274df79606 ; ENEV 2009/2014 (KfW 100/ 85)               ; MULTI_FAMILY_HOUSE   ; 12            ; 5                       ; 33             ; 1279       ; false      ; 8      
61ffcab9-b258-4436-a56c-eab4c16ea766 ; Niedrigenergiehaus (KfW 70)                ; TOWER_BLOCK          ; 12            ; 5                       ; 42             ; 1498       ; false      ; 7      
636a5967-472f-4444-89d1-0ac9bfacacae ; Standard 1969-1978                         ; TOWER_BLOCK          ; 15            ; 5                       ; 25             ; 2136       ; false      ; 1      
66846fa3-7479-45ad-be16-e87ab3d54242 ; Standard 1958-1978                         ; BLOCK_OF_FLATS       ; 15            ; 5                       ; 17             ; 1873       ; false      ; 3      
6707ebe6-0e2a-44b9-838f-50a2f90d144d ; Standard bis 1918                          ; SINGLE_FAMILY_HOUSE  ; 17            ; 5                       ; 9              ; 1785       ; false      ; 0      
